stem,style,lpips,ssim,histogram_distance
thanh1+𣌌,thanh1,0.08648243546485901,0.7315438767953351,29.77451084236752
thanh1+𪢌,thanh1,0.06020118668675423,0.7630964591911982,0.11355058737551714
thanh1+𡎜,thanh1,0.060701582580804825,0.7853244186952931,0.10447698314767666
thanh1+󱞈,thanh1,0.0664469376206398,0.7628626427775556,0.10300673546152044
thanh1+𫼿,thanh1,0.0618707649409771,0.7539025024226498,0.09738560023550889
thanh1+󱢉,thanh1,0.07523997128009796,0.6653927717364337,0.09680391817099844
thanh1+𠴌,thanh1,0.08750991523265839,0.7997088740414844,0.08726637124418925
thanh1+󱢅,thanh1,0.11246530711650848,0.537600708551389,0.3741119880469033
thanh1+󱹻,thanh1,0.10551373660564423,0.6164954952666831,0.11572314148438856
thanh1+湳,thanh1,0.07302378118038177,0.5901480981222416,0.13921938820391402
thanh1+𬧡,thanh1,0.08659052103757858,0.7393466978605129,0.07855821998747665
thanh1+󰮁,thanh1,0.07967375218868256,0.6040522892395581,0.12893326875390465
thanh1+𠸬,thanh1,0.076504647731781,0.5916007845840514,0.12476294839180674
thanh1+󱜺,thanh1,0.057722724974155426,0.7593613852655798,0.10922624080922078
thanh1+𫄋,thanh1,0.04491152986884117,0.8074819430942614,0.13946897072266837
thanh1+囄,thanh1,0.06467949599027634,0.6174579866383209,0.14324727724726713
thanh1+󱥯,thanh1,0.04494365304708481,0.7802864755549445,0.11006219445374366
thanh1+䓬,thanh1,0.04683542996644974,0.8364483124173471,0.10740427311783984
thanh1+󱰍,thanh1,0.07230357825756073,0.5598990991849947,0.11418809650727091
thanh1+𡚝,thanh1,0.08418013155460358,0.6110689391681258,0.19981168114871173
thanh1+𤄷,thanh1,0.07953522354364395,0.6743036319001995,0.14164399832716065
thanh1+󱤚,thanh1,0.08677864074707031,0.7141646990504299,0.10075979036878156
thanh1+𢪭,thanh1,0.04923971742391586,0.8312897833814475,600.4488948509752
thanh1+𫴇,thanh1,0.07509656250476837,0.6961342484606571,0.1345270928750776
thanh1+𠸫,thanh1,0.07158162444829941,0.6586652796301793,167.2759076536348
thanh1+𬅷,thanh1,0.08248116075992584,0.7091714906611276,195.86996583549464
thanh1+𡎤,thanh1,0.10903321206569672,0.6024790599238932,0.10824726965328445
thanh1+󱊚,thanh1,0.058121457695961,0.7840657675705724,0.1452651500246163
thanh1+𢀦,thanh1,0.04701963812112808,0.800612260840753,0.12361478587096701
thanh1+𦨂,thanh1,0.08134312182664871,0.5522998982616868,0.13675042385058808
thanh1+𨄮,thanh1,0.05561574548482895,0.681692632012692,0.10017887822906757
thanh1+𧿯,thanh1,0.04780281335115433,0.7830005036058348,0.11084586246545229
thanh1+󱰯,thanh1,0.04903513565659523,0.775353722765527,0.11945162426890425
thanh1+󱮝,thanh1,0.08443848788738251,0.5328794302636719,0.2802297134134379
thanh1+𡅩,thanh1,0.06427032500505447,0.7683175428527887,0.12916433614864095
thanh1+󰄜,thanh1,0.07280214875936508,0.5286867881308565,0.16509636712718212
thanh1+𦨭,thanh1,0.08927550911903381,0.5166025675309004,0.10899783123196523
thanh1+𬄪,thanh1,0.04717042297124863,0.7832312815575623,0.10362057649592026
thanh1+󱜉,thanh1,0.07496817409992218,0.6332120799251685,0.30191140725740917
thanh1+󰂻,thanh1,0.09296176582574844,0.4970641346293861,0.10263064935117601
thanh1+󱟫,thanh1,0.07062932848930359,0.7983124602225711,0.46254440032808136
thanh1+𬮷,thanh1,0.10029079020023346,0.5458589508807612,0.3080975699740574
thanh1+𡮣,thanh1,0.09306124597787857,0.6682543232826123,0.0925436531258156
thanh1+󱧖,thanh1,0.10828320682048798,0.6681973314182635,0.14341499769746294
thanh1+㧪,thanh1,0.08761715888977051,0.5119486039919098,0.13505306272971285
thanh1+󱬔,thanh1,0.07384120672941208,0.7628056124087812,0.09666160240964373
thanh1+𪢊,thanh1,0.06237221136689186,0.7786256328195055,0.109684545417854
thanh1+󰭂,thanh1,0.08617998659610748,0.6471032212077179,0.11683850109266242
thanh1+𢅄,thanh1,0.053757309913635254,0.8122710339060204,0.09962184151697313
thanh1+𥶱,thanh1,0.04938831180334091,0.7602203099000953,0.11697250739968086
thanh1+啲,thanh1,0.08147575706243515,0.5033544555372504,158.21626445065453
thanh1+𩯂,thanh1,0.08569557219743729,0.6060753826864097,0.15346204207646513
thanh1+𩼁,thanh1,0.07252916693687439,0.6351811798680072,0.14136016120543451
thanh1+𫟌,thanh1,0.11016107350587845,0.5394141773321205,0.10417347230064404
thanh1+㗩,thanh1,0.09831243008375168,0.6795299966559689,0.08428341800919614
thanh1+󱛍,thanh1,0.043957747519016266,0.7815005728769943,0.1199303346445079
thanh1+𫆮,thanh1,0.0501774363219738,0.8169960922205899,0.11451268359310428
thanh1+𪡿,thanh1,0.07429833710193634,0.7606432078990765,0.1105321765976019
thanh1+𢹊,thanh1,0.08671558648347855,0.6352298229185712,0.18132367655412684
thanh1+󰧙,thanh1,0.06972458958625793,0.7303425464985823,0.5983388558714795
thanh1+󱘧,thanh1,0.0766243115067482,0.5945197951715706,0.12697865035388758
thanh1+𦷬,thanh1,0.04902821406722069,0.7842458474456234,0.10462445818209576
thanh1+󱞕,thanh1,0.05860546976327896,0.8257423222018215,0.10370076202205918
thanh1+𠼸,thanh1,0.055758971720933914,0.7545209030963328,0.11023550249141771
thanh1+𤉓,thanh1,0.05881733447313309,0.7545549388873426,0.0892193745659411
thanh1+𤯱,thanh1,0.07903172075748444,0.6825856263070346,0.129384818664943
